IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度
103.184.44.42,443,true,SJC,North America,San Jose,193 ms,1.12 MB/s
103.184.45.61,443,true,SJC,North America,San Jose,189 ms,0.86 MB/s
103.184.45.28,443,true,SJC,North America,San Jose,194 ms,0.81 MB/s
103.184.44.211,443,true,SJC,North America,San Jose,187 ms,0.79 MB/s
103.184.45.254,443,true,SJC,North America,San Jose,187 ms,0.71 MB/s
103.184.45.60,443,true,SJC,North America,San Jose,190 ms,0.67 MB/s
103.184.44.54,443,true,SJC,North America,San Jose,191 ms,0.64 MB/s
103.184.45.86,443,true,SJC,North America,San Jose,195 ms,0.63 MB/s
103.184.44.48,443,true,SJC,North America,San Jose,190 ms,0.59 MB/s
103.184.44.177,443,true,SJC,North America,San Jose,188 ms,0.56 MB/s
103.184.44.130,443,true,SJC,North America,San Jose,187 ms,0.51 MB/s
103.184.45.183,443,true,SJC,North America,San Jose,191 ms,0.43 MB/s
103.184.45.228,443,true,SJC,North America,San Jose,191 ms,0.40 MB/s
103.184.45.202,443,true,SJC,North America,San Jose,195 ms,0.39 MB/s
103.184.44.28,443,true,SJC,North America,San Jose,190 ms,0.35 MB/s
103.184.45.9,443,true,SJC,North America,San Jose,186 ms,0.32 MB/s
103.184.44.62,443,true,SJC,North America,San Jose,207 ms,0.27 MB/s
103.184.44.194,443,true,SJC,North America,San Jose,190 ms,0.23 MB/s
103.184.45.85,443,true,SJC,North America,San Jose,199 ms,0.22 MB/s
103.184.45.179,443,true,SJC,North America,San Jose,190 ms,0.20 MB/s
103.184.45.190,443,true,SJC,North America,San Jose,187 ms,0.19 MB/s
103.184.44.89,443,true,SJC,North America,San Jose,182 ms,0.18 MB/s
103.184.45.197,443,true,SJC,North America,San Jose,192 ms,0.18 MB/s
103.184.44.91,443,true,SJC,North America,San Jose,190 ms,0.15 MB/s
103.184.44.210,443,true,SJC,North America,San Jose,190 ms,0.00 MB/s
103.184.45.172,443,true,SJC,North America,San Jose,182 ms,0.00 MB/s
103.184.44.193,443,true,SJC,North America,San Jose,186 ms,0.00 MB/s
103.184.44.152,443,true,SJC,North America,San Jose,189 ms,0.00 MB/s
103.184.44.196,443,true,SJC,North America,San Jose,196 ms,0.00 MB/s
103.184.45.99,443,true,SJC,North America,San Jose,212 ms,0.00 MB/s
103.184.45.151,443,true,SJC,North America,San Jose,189 ms,0.00 MB/s
103.184.45.196,443,true,SJC,North America,San Jose,187 ms,0.00 MB/s
